file,status,match,tokens,multi,elapsed_s
V98,ok,1,102875,19340,94.1
V99,ok,1,104575,18731,93.4
V9A,ok,1,103345,18574,104.0
V9B,ok,1,95216,21547,113.7
V9C,ok,1,60137,13497,74.0
V9D,ok,0,58663,11326,64.9
V9E,ok,1,112750,17228,111.4
V9F,ok,1,60740,11972,67.4
VA0,ok,1,64675,12675,65.2
VA1,ok,1,87545,20065,104.5
